a,b,weight,relationship
FMC,MKTX,0.6601945555652116,MST
FOX,FOXA,0.9822856854189027,MST
FOX,LYV,0.4356690046029208,MST
FRT,KIM,0.8698180440211661,MST
FRT,REG,0.8850916546475429,MST
FTNT,PANW,0.7247892995099245,MST
GD,LDOS,0.47080479158319144,MST
GD,LHX,0.6818603421826203,MST
GD,RTX,0.6497183770478154,MST
GDDY,IR,0.6744010786430962,MST
GEHC,MGM,0.6603002342937453,MST
GEN,IT,0.5976608075935751,MST
GEV,NVDA,0.8019729715549337,MST
GEV,VST,0.892248757173422,MST
GIS,HRL,0.690684098085224,MST
GIS,KHC,0.810668178692585,MST
GIS,MKC,0.6841501745068576,MST
GIS,PEP,0.786857120061792,MST
GIS,SJM,0.8047900200724403,MST
GM,LUV,0.5606200854671317,MST
GM,SWK,0.5460108837565744,MST
GNRC,GPN,0.45993405957027367,MST
GOOG,GOOGL,0.9988578376522712,MST
GOOG,TSLA,0.6160928123955043,MST
GPC,ORLY,0.5709470341370484,MST
GPC,VRSN,0.502170664787465,MST
GPN,GS,0.5432371623401436,MST
GS,ISRG,0.6257158567240233,MST
GS,JPM,0.8085155018748352,MST
GS,MS,0.8833100480365771,MST
GS,TRMB,0.7247946517289975,MST
GS,VMC,0.7630335075341173,MST
GS,WFC,0.8391596914049999,MST
GWW,PPG,0.6474317354124075,MST
GWW,SHW,0.7071818477817271,MST
HAL,HES,0.7642013705619022,MST
HAL,SLB,0.8069932606643495,MST
HAS,LKQ,0.6193014710898174,MST
HBAN,RF,0.8845947376728553,MST
HCA,UHS,0.8883068158259184,MST
HD,LOW,0.9010318809772329,MST
HES,XOM,0.7918477533127086,MST
HIG,PGR,0.7131192002111238,MST
HIG,TRV,0.8004320511995662,MST
HII,HON,0.6213167653934052,MST
HII,MOH,0.5873498202513221,MST
HII,SWKS,0.7920943374946148,MST
HLT,JPM,0.609046838886033,MST
HLT,MAR,0.7162733639236591,MST
HPE,SYF,0.5942417987206196,MST
HPE,ULTA,0.48741819051305013,MST
HPQ,MRNA,0.3620220044298834,MST
HPQ,NTAP,0.6614154294319774,MST
HSIC,SBUX,0.5868450112709332,MST
HST,JPM,0.5956372759973261,MST
HST,PAYC,0.5554312299550729,MST
HSY,KHC,0.7232263585387089,MST
HUBB,TT,0.8505819744333705,MST
HUM,UNH,0.586314398246942,MST
HWM,TT,0.7180621339229952,MST
IBM,LVS,0.6228959548814138,MST
IBM,WM,0.6827226034530766,MST
ICE,YUM,0.7398099000348247,MST
IDXX,RMD,0.41331521321907794,MST
IEX,MTCH,0.6122745563183649,MST
IEX,TROW,0.6972926204782387,MST
IEX,VLTO,0.7263197383977424,MST
INCY,REGN,0.5129789805214724,MST
INTU,WDAY,0.5492243611664263,MST
IP,RJF,0.6017237678417493,MST
IPG,MTCH,0.5310683201742897,MST
IQV,LLY,0.46578625538183904,MST
IQV,STE,0.5980416389362909,MST
IQV,TECH,0.7711450590473655,MST
ITW,LMT,0.6408615476564726,MST
ITW,OTIS,0.7487787424335695,MST
ITW,PLD,0.7014059405968307,MST
ITW,TXT,0.7127793088728112,MST
ITW,VICI,0.7151787942543866,MST
IVZ,RCL,0.6088018156038122,MST
J,PNR,0.6545752721181414,MST
JBHT,STT,0.5965382459205685,MST
